x , y , z
29.239 , -6.35975 , -0.542876
29.2397 , -6.35667 , -0.542954
29.2403 , -6.35359 , -0.543033
29.2409 , -6.35051 , -0.543111
29.2416 , -6.34743 , -0.54319
29.2422 , -6.34435 , -0.543268
29.2429 , -6.34127 , -0.543347
29.2435 , -6.33819 , -0.543425
29.2442 , -6.33511 , -0.543504
29.2448 , -6.33203 , -0.543582
29.2454 , -6.32895 , -0.543661
29.2461 , -6.32587 , -0.543739
29.2467 , -6.32279 , -0.543818
29.2474 , -6.31971 , -0.543896
29.248 , -6.31663 , -0.543975
29.2486 , -6.31355 , -0.544053
29.2493 , -6.31047 , -0.544131
29.2499 , -6.30739 , -0.54421
29.2506 , -6.30431 , -0.544288
29.2512 , -6.30123 , -0.544367
29.2518 , -6.29815 , -0.544445
29.2525 , -6.29507 , -0.544523
29.2531 , -6.29199 , -0.544602
29.2538 , -6.28891 , -0.54468
29.2544 , -6.28583 , -0.544759
29.255 , -6.28275 , -0.544837
29.2557 , -6.27967 , -0.544915
29.2563 , -6.27658 , -0.544994
29.2569 , -6.2735 , -0.545072
29.2576 , -6.27042 , -0.545151
29.2582 , -6.26734 , -0.545229
29.2588 , -6.26426 , -0.545307
29.2595 , -6.26118 , -0.545386
29.2601 , -6.2581 , -0.545464
29.2607 , -6.25501 , -0.545542
29.2614 , -6.25193 , -0.545621
29.262 , -6.24885 , -0.545699
29.2626 , -6.24577 , -0.545777
29.2633 , -6.24269 , -0.545856
29.2639 , -6.23961 , -0.545934
29.2645 , -6.23652 , -0.546012
29.2652 , -6.23344 , -0.54609
29.2658 , -6.23036 , -0.546169
29.2664 , -6.22728 , -0.546247
29.2671 , -6.22419 , -0.546325
29.2677 , -6.22111 , -0.546403
29.2683 , -6.21803 , -0.546482
29.269 , -6.21495 , -0.54656
29.2696 , -6.21186 , -0.546638
29.2702 , -6.20878 , -0.546716
29.2708 , -6.2057 , -0.546795
29.2715 , -6.20262 , -0.546873
29.2721 , -6.19953 , -0.546951
29.2727 , -6.19645 , -0.547029
